Year,BC Provincial Government,Alberta Provincial Government,Ontario Provincial Government,Quebec Provincial Government
2000,NDP,Conservative Party,Conservative Party,Parti Quebecois
2001,NDP,Conservative Party,Conservative Party,Parti Quebecois
2002,Liberal Party,Conservative Party,Conservative Party,Parti Quebecois
2003,Liberal Party,Conservative Party,Conservative Party,Liberal Party
2004,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2005,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2006,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2007,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2008,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2009,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2010,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2011,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2012,Liberal Party,Conservative Party,Liberal Party,Parti Quebecois
2013,Liberal Party,Conservative Party,Liberal Party,Parti Quebecois
2014,Liberal Party,Conservative Party,Liberal Party,Liberal Party
2015,Liberal Party,NDP,Liberal Party,Liberal Party
2016,Liberal Party,NDP,Liberal Party,Liberal Party
2017,Liberal Party,NDP,Liberal Party,Liberal Party
2018,NDP,NDP,Conservative Party,Coalition Avenir Quebec
2019,NDP,Conservative Party,Conservative Party,Coalition Avenir Quebec
2020,NDP,Conservative Party,Conservative Party,Coalition Avenir Quebec
2021,NDP,Conservative Party,Conservative Party,Coalition Avenir Quebec
2022,NDP,Conservative Party,Conservative Party,Coalition Avenir Quebec
2023,NDP,Conservative Party,Conservative Party,Coalition Avenir Quebec
2024,NDP,Conservative Party,Conservative Party,Coalition Avenir Quebec
