Year,BritishColumbia,Alberta,Ontario,Quebec
2000,9.2,10.2,10.9,7.3
2001,10.4,13.2,5.5,7.1
2002,6.4,9.9,7.9,5.3
2003,3.9,7.2,11.5,4.9
2004,2.2,9.9,7.5,6.2
2005,6.4,11.9,6.9,5.2
2006,4.3,10.4,6.1,7.2
2007,7.5,12.8,9.1,8.7
2008,6.5,8.2,5.3,4.8
2009,4.4,6.2,6.4,7.4
2010,4.9,12.2,4.8,4.6
2011,3.6,3.4,3.3,4.2
2012,6.5,4.8,4.7,2.6
2013,2.2,4.1,2.2,4.2
2014,3.5,3.7,2.8,2.3
2015,3.7,3.9,2.8,9.5
2016,4.3,4.1,2.2,1.2
2017,3.6,4.0,3.3,4.8
2018,4.3,3.3,4.1,6.0
2019,6.2,1.8,3.9,5.3
2020,12.5,6.1,13.8,21.2
2021,10.4,4.3,7.5,8.7
2022,5.1,3.4,3.0,0.0
2023,8.9,6.9,2.1,2.6
2024,12.0,5.0,4.6,3.4
