geogprv,avg_percap_spend,PHC_060,PHC_035,PHC_005,PHC_020,UCN_005,avg_total_spend,Year
Alberta,5317.51,2.682,3.004,1.096,1.127,,23301.65,2019
BritishColumbia,4762.885,2.832,3.243,1.105,1.151,1.945,24506.35,2019
Man.,5021.065,2.598,3.24,1.103,1.112,1.966,6905.35,2019
N.B.,4593.585,2.316,3.931,1.074,1.072,1.962,3585.1,2019
N.L.,6319.605,2.293,3.606,1.051,1.105,1.965,3332.1,2019
N.S.,5121.23,2.5,4.011,1.092,1.113,1.935,5032.8,2019
Ontario,4610.65,2.65,3.164,1.073,1.087,1.952,67652.75,2019
P.E.I.,5101.495,2.271,3.336,1.071,1.09,,803.55,2019
Quebec,5037.435,2.771,3.809,1.151,1.17,1.953,42920.3,2019
Sask.,5198.73,2.542,2.977,1.093,1.125,,6060.95,2019
