Year,Province,Government
2000,BritishColumbia,NDP
2001,BritishColumbia,NDP
2002,BritishColumbia,Liberal Party
2003,BritishColumbia,Liberal Party
2004,BritishColumbia,Liberal Party
2005,BritishColumbia,Liberal Party
2006,BritishColumbia,Liberal Party
2007,BritishColumbia,Liberal Party
2008,BritishColumbia,Liberal Party
2009,BritishColumbia,Liberal Party
2010,BritishColumbia,Liberal Party
2011,BritishColumbia,Liberal Party
2012,BritishColumbia,Liberal Party
2013,BritishColumbia,Liberal Party
2014,BritishColumbia,Liberal Party
2015,BritishColumbia,Liberal Party
2016,BritishColumbia,Liberal Party
2017,BritishColumbia,Liberal Party
2018,BritishColumbia,NDP
2019,BritishColumbia,NDP
2020,BritishColumbia,NDP
2021,BritishColumbia,NDP
2022,BritishColumbia,NDP
2023,BritishColumbia,NDP
2024,BritishColumbia,NDP
2000,Alberta,Conservative Party
2001,Alberta,Conservative Party
2002,Alberta,Conservative Party
2003,Alberta,Conservative Party
2004,Alberta,Conservative Party
2005,Alberta,Conservative Party
2006,Alberta,Conservative Party
2007,Alberta,Conservative Party
2008,Alberta,Conservative Party
2009,Alberta,Conservative Party
2010,Alberta,Conservative Party
2011,Alberta,Conservative Party
2012,Alberta,Conservative Party
2013,Alberta,Conservative Party
2014,Alberta,Conservative Party
2015,Alberta,NDP
2016,Alberta,NDP
2017,Alberta,NDP
2018,Alberta,NDP
2019,Alberta,Conservative Party
2020,Alberta,Conservative Party
2021,Alberta,Conservative Party
2022,Alberta,Conservative Party
2023,Alberta,Conservative Party
2024,Alberta,Conservative Party
2000,Ontario,Conservative Party
2001,Ontario,Conservative Party
2002,Ontario,Conservative Party
2003,Ontario,Conservative Party
2004,Ontario,Liberal Party
2005,Ontario,Liberal Party
2006,Ontario,Liberal Party
2007,Ontario,Liberal Party
2008,Ontario,Liberal Party
2009,Ontario,Liberal Party
2010,Ontario,Liberal Party
2011,Ontario,Liberal Party
2012,Ontario,Liberal Party
2013,Ontario,Liberal Party
2014,Ontario,Liberal Party
2015,Ontario,Liberal Party
2016,Ontario,Liberal Party
2017,Ontario,Liberal Party
2018,Ontario,Conservative Party
2019,Ontario,Conservative Party
2020,Ontario,Conservative Party
2021,Ontario,Conservative Party
2022,Ontario,Conservative Party
2023,Ontario,Conservative Party
2024,Ontario,Conservative Party
2000,Quebec,Parti Quebecois
2001,Quebec,Parti Quebecois
2002,Quebec,Parti Quebecois
2003,Quebec,Liberal Party
2004,Quebec,Liberal Party
2005,Quebec,Liberal Party
2006,Quebec,Liberal Party
2007,Quebec,Liberal Party
2008,Quebec,Liberal Party
2009,Quebec,Liberal Party
2010,Quebec,Liberal Party
2011,Quebec,Liberal Party
2012,Quebec,Parti Quebecois
2013,Quebec,Parti Quebecois
2014,Quebec,Liberal Party
2015,Quebec,Liberal Party
2016,Quebec,Liberal Party
2017,Quebec,Liberal Party
2018,Quebec,Coalition Avenir Quebec
2019,Quebec,Coalition Avenir Quebec
2020,Quebec,Coalition Avenir Quebec
2021,Quebec,Coalition Avenir Quebec
2022,Quebec,Coalition Avenir Quebec
2023,Quebec,Coalition Avenir Quebec
2024,Quebec,Coalition Avenir Quebec
