Year,BC Provincial Government,Alberta Provincial Government,Ontario Provincial Government,Quebec Provincial Government
2000,NDP,Progressive Conservative Party,Progressive Conservative Party,Parti Québécois
2001,NDP,Progressive Conservative Party,Progressive Conservative Party,Parti Québécois
2002,BC Liberal Party,Progressive Conservative Party,Progressive Conservative Party,Parti Québécois
2003,BC Liberal Party,Progressive Conservative Party,Progressive Conservative Party,Liberal Party
2004,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2005,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2006,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2007,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2008,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2009,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2010,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2011,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2012,BC Liberal Party,Progressive Conservative Party,Liberal Party,Parti Québécois
2013,BC Liberal Party,Progressive Conservative Party,Liberal Party,Parti Québécois
2014,BC Liberal Party,Progressive Conservative Party,Liberal Party,Liberal Party
2015,BC Liberal Party,NDP,Liberal Party,Liberal Party
2016,BC Liberal Party,NDP,Liberal Party,Liberal Party
2017,BC Liberal Party,NDP,Liberal Party,Liberal Party
2018,NDP,NDP,Progressive Conservative Party,Coalition Avenir Québec
2019,NDP,United Conservative Party,Progressive Conservative Party,Coalition Avenir Québec
2020,NDP,United Conservative Party,Progressive Conservative Party,Coalition Avenir Québec
2021,NDP,United Conservative Party,Progressive Conservative Party,Coalition Avenir Québec
2022,NDP,United Conservative Party,Progressive Conservative Party,Coalition Avenir Québec
2023,NDP,United Conservative Party,Progressive Conservative Party,Coalition Avenir Québec
2024,NDP,United Conservative Party,Progressive Conservative Party,Coalition Avenir Québec
